Code,Description,CodeType,Deprecated,Created,Modified,
35D3,Arago,SHIPC,False,2009-12-15,2016-02-24,
35D4,ILE BOURBON,SHIPC,False,2018-10-29,2018-10-29,
35DA,ST. GERMAIN,SHIPC,False,2006-12-21,2006-12-21,
35DB,MONGE,SHIPC,False,2006-12-21,2006-12-21,
35DC,ESSO PROVENCE,SHIPC,False,2006-12-21,2006-12-21,
35DD,PORT ANNA,SHIPC,False,2006-12-21,2006-12-21,
35DE,LA DECOUVERTE,SHIPC,False,2006-12-21,2007-03-15,
35DF,RENOIR,SHIPC,False,2006-12-21,2006-12-21,
35DG,Atlantic Surveyor,SHIPC,False,2013-03-21,2015-07-29,
35DH,Soizen,SHIPC,False,2013-03-21,2013-03-21,
35DI,DICKY,SHIPC,False,2006-12-21,2006-12-21,
35DJ,VERLAINE,SHIPC,False,2013-03-21,2013-03-21,
35DK,Cap Morgane,SHIPC,False,2013-12-04,2013-12-04,
35DL,CASTOR 2,SHIPC,False,2013-12-06,2013-12-06,
35DM,Bretagne,SHIPC,False,2013-12-05,2016-02-24,
35DN,D'ENTRECASTEAUX,SHIPC,False,2006-12-21,2006-12-21,
35DP,DOMPAIRE,SHIPC,False,2006-12-21,2006-12-21,
35DR,DRIFTING BUOY,SHIPC,False,2006-12-21,2006-12-21,
35DU,LA DUNKERQUOISE,SHIPC,False,2006-12-21,2006-12-21,
35E3,MAILYS CHARLIE,SHIPC,False,2017-03-26,2017-03-26,
35EA,EQUALIS,SHIPC,False,2006-12-21,2006-12-21,
35EB,EMILE BAUDOT,SHIPC,False,2006-12-21,2006-12-21,
35EC,EXCELLENT,SHIPC,False,2006-12-21,2006-12-21,
35ED,ENSEIGNE DE VAISSEAU HENRY,SHIPC,False,2006-12-21,2006-12-21,
35EG,Eglantine,SHIPC,False,2009-05-04,2009-05-04,
35EH,ECHO 2,SHIPC,False,2006-12-21,2006-12-21,
35EL,ELIE MONNIER,SHIPC,False,2006-12-21,2016-02-24,
35EM,L'EMPORTE,SHIPC,False,2006-12-21,2006-12-21,
35EN,ENGAGEANTE,SHIPC,False,2006-12-21,2009-12-08,
35EP,ESPADON,SHIPC,False,2006-12-21,2010-12-14,
35ER,L' ESPERANCE,SHIPC,False,2012-05-21,2013-08-15,
35ES,ESTAFETTE,SHIPC,False,2006-12-21,2006-12-21,
35ET,EMILE MIGUET,SHIPC,False,2006-12-21,2006-12-21,
35EU,L'EUROPE,SHIPC,False,2006-12-21,2009-12-08,
35EV,MANEVAI,SHIPC,False,2018-12-31,2018-12-31,
35F2,CAP KERSAINT,SHIPC,False,2018-06-22,2018-06-22,
35F8,ARCHIMEDE,SHIPC,False,2017-04-26,2017-04-26,
35FA,FRANCE II,SHIPC,False,2006-12-21,2013-12-17,
35FB,F. BLANC,SHIPC,False,2006-12-21,2006-12-21,
35FD,ALFRED VIEU,SHIPC,False,2006-12-21,2006-12-21,
35FE,FEE DE L'AULNE,SHIPC,False,2006-12-21,2006-12-21,
35FL,FLORENCE,SHIPC,False,2006-12-21,2011-11-17,
35FR,FRANCE I,SHIPC,False,2006-12-21,2013-11-27,
35FT,Fille du Suet,SHIPC,False,2012-11-20,2012-11-20,
35FV,Venus,SHIPC,False,2013-12-05,2016-02-24,
35FY,LA BONITE,SHIPC,False,2013-12-06,2016-02-24,
35GA,GARDOUR,SHIPC,False,2006-12-21,2006-12-21,
35GB,GAUGIN,SHIPC,False,2006-12-21,2006-12-21,
35GC,CYGNE,SHIPC,False,2006-12-21,2006-12-21,
35GD,GWEN DREZ,SHIPC,False,2006-12-21,2009-12-08,
35GE,GEOMAR,SHIPC,False,2006-12-21,2006-12-21,
35GF,GYF,SHIPC,False,2006-12-21,2006-12-21,
35GG,LEGANGE,SHIPC,False,2006-12-21,2006-12-21,
35GH,Gallieni,SHIPC,False,2011-01-20,2011-01-20,
35GL,Glycine,SHIPC,False,2009-05-04,2009-05-04,
35GN,GLOMAR NORTH SEA,SHIPC,False,2006-12-21,2006-12-21,
35GP,GEORGES PETIT,SHIPC,False,2006-12-21,2010-06-10,
35GT,GERARD TRECA,SHIPC,False,2006-12-21,2006-12-21,
35GU,PROVENCE,SHIPC,False,2019-07-18,2019-07-18,
35GW,GWALARN,SHIPC,False,2006-12-21,2016-02-24,
35HA,COMMANDANT CHARCOT,SHIPC,False,2006-12-21,2006-12-21,
35HE,HEBE,SHIPC,False,2006-12-21,2006-12-21,
35HI,Tara V,SHIPC,False,2019-09-23,2019-09-23,
35HL,HALIOTIS,SHIPC,False,2008-05-23,2008-05-23,
35HN,HENRI EMELIE III,SHIPC,False,2006-12-21,2009-12-11,
35HT,THALASSA,SHIPC,False,2006-12-21,2017-09-25,
35HU,LA COLOMBINE,SHIPC,False,2018-01-31,2018-01-31,
35HV,HVAR,SHIPC,False,2006-12-21,2006-12-21,
35IA,IVERNIA,SHIPC,False,2006-12-21,2006-12-21,
35IC,ICHTHYS,SHIPC,False,2006-12-21,2009-12-08,
35IE,IRENE S,SHIPC,False,2006-12-21,2006-12-21,
35IM,ILE MAURICE,SHIPC,False,2006-12-21,2006-12-21,
35IN,INCONSTANT,SHIPC,False,2006-12-21,2006-12-21,
35IP,NICKEL 1,SHIPC,False,2006-12-21,2006-12-21,
35IS,IBIS,SHIPC,False,2006-12-21,2006-12-21,
35IT,ISEULT,SHIPC,False,2006-12-21,2006-12-21,
35IX,Idef X,SHIPC,False,2016-07-12,2016-07-12,
35IY,Planula IV,SHIPC,False,2018-08-28,2018-08-28,
35JB,JEAN BART,SHIPC,False,2006-12-21,2006-12-21,
35JC,JEAN CHARCOT,SHIPC,False,2006-12-21,2009-12-08,
